State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"Florida","S.B. 1710","Other anti-LGBTQ bills","Defeated","Legislative session adjourned","06/16/2025",""
"Florida","H.B. 1307","Restricting student & educator rights | School facilities bans","Defeated","Legislative session adjourned","06/16/2025",""
"Florida","H.B. 1495","Other anti-LGBTQ bills | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session adjourned","06/16/2025",""
"North Dakota","H.B. 1144","Restricting student & educator rights | School facilities bans","Passed into Law","Governor signed","05/02/2025",""
"Nebraska","L.B.89","Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School sports bans | Weakening Civil Rights Laws","Passed into Law","Governor signed","06/06/2025",""
"Montana","H.B. 819","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","05/13/2025",""
"Missouri","S.B. 10","Healthcare age restrictions | Healthcare restrictions | Restricting student & educator rights | School sports bans","Advancing","Added to House Informal Calendar for third reading","06/11/2025",""
"Maine","L.D. 1134 (S.P. 461)","Restricting student & educator rights | School sports bans","Defeated","House and Senate concurred ought not to pass","06/13/2025",""
"Oklahoma","H.B.1224","Religious exemptions | Weakening Civil Rights Laws","Advancing","Did not meet passage requirements, dormant until carried over","05/30/2025",""
"Nevada","A.B.56","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","05/26/2025",""
"Montana","S.B. 240","Other anti-LGBTQ bills","Defeated","Died in process","05/23/2025",""
"Montana","S.B. 164","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Died in process","05/23/2025",""
"Wisconsin","S.B.146","Barriers to accurate IDs | ","Advancing","Senate passed; House first read and referred to committee","05/27/2025",""
"Wisconsin","A.B.124","Barriers to accurate IDs | ","Advancing","Reported favorably by committee as amended and re-referred to committee","05/29/2025",""
"Texas","S.B. 1999","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 1073","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 2920","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/02/2025",""
"Montana","S.B. 299","Forced outing in schools | Restricting student & educator rights","Advancing","House tabled in committee; died in Senate committee","05/23/2025",""
"Michigan","H.B.4066","Restricting student & educator rights | School sports bans","Advancing","Passed House; Senate referred to committee","05/29/2025",""
"Iowa","S.F.507","Other anti-LGBTQ bills","Advancing","Legislative session adjourned, carries over to 2026","05/14/2025",""
"Iowa","H.F.856","Other anti-LGBTQ bills","Passed into Law","Governor signed","05/27/2025",""
"West Virginia","S.B.154","Forced outing in schools | Restricting student & educator rights","Passed into Law","Governor signed","04/30/2025",""
"West Virginia","S.B.474","Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","04/30/2025",""
"West Virginia","S.B.299","Healthcare age restrictions | Healthcare restrictions | ","Passed into Law","Governor signed","04/30/2025",""
"Texas","S.B. 689","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Tennessee","S.B.0937","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","05/09/2025",""
"Tennessee","H.B.1270","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Advancing","Companion bill became law","05/15/2025",""
"Rhode Island","S.B.305","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session adjourned","06/20/2025",""
"Oklahoma","S.B.658","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","05/10/2025",""
"Oklahoma","S.B.418","Other anti-LGBTQ bills","Passed into Law","Governor signed","05/13/2025",""
"Montana","H.B. 734","Other school restrictions | Restricting student & educator rights","Defeated","Died in Process","05/20/2025",""
"Montana","H.B. 730","Healthcare restrictions | Other healthcare barriers","Defeated","Died in process","05/20/2025",""
"Montana","H.B. 754","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Died in process","05/20/2025",""
"Montana","H.B. 675","Drag bans | Free speech & expression bans | ","Defeated","Died in process","05/20/2025",""
"Montana","H.B. 635","Other anti-LGBTQ bills","Defeated","Died in process","05/20/2025",""
"Montana","H.B. 682","Healthcare restrictions | Other healthcare barriers","Passed into Law","Signed by Governor","05/13/2025",""
"Montana","H.B. 690","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","05/13/2025",""
"Georgia","S.B.1","Restricting student & educator rights | School facilities bans | School sports bans","Passed into Law","Governor signed","04/28/2025",""
"West Virginia","S.B.456","Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Passed into Law","Governor signed","03/18/2025",""
"Texas","H.B. 2354","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2969","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 619","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 437","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 370","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 1655","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 2943","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Oklahoma","H.B.1688","Barriers to accurate IDs | ","Passed into Law","Become law without Governor's signature","05/06/2025",""
"Ohio","H.B.172","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Committee hearing","05/21/2025",""
"North Carolina","H606","Healthcare restrictions | Other healthcare barriers","Advancing","House passed; Senate first read and referred to committee","05/07/2025",""
"North Carolina","H560","Healthcare restrictions | Other healthcare barriers","Advancing","Re-referred to committee","05/12/2025",""
"New Hampshire","S.B.211","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Senate passed; House executive session scheduled","05/20/2025",""
"Montana","S.B. 218","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","05/08/2025",""
"Missouri","H.B. 1362","Barriers to accurate IDs | ","Advancing","Referred to committee","04/29/2025",""
"Missouri","H.B. 156","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 722","Drag bans | Free speech & expression bans | ","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 157","Barriers to accurate IDs | ","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 1053","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 76","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 1354","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 1085","Curriculum censorship | Forced outing in schools | Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 1144","Healthcare restrictions | Other healthcare barriers","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 562","Other anti-LGBTQ bills","Advancing","Referred to committee","05/15/2025",""
"Missouri","H.B. 38","Other school restrictions | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Advancing","Referred to committee","05/15/2025",""
"Massachusetts","S.350","Restricting student & educator rights | School sports bans","Advancing","Joint hearing scheduled","05/06/2025",""
"Massachusetts","H.584","Restricting student & educator rights | School sports bans","Advancing","Joint hearing scheduled","05/06/2025",""
"Indiana","H.B.1412","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","05/01/2025",""
"Georgia","S.B.185","Healthcare restrictions | Prison healthcare restrictions","Passed into Law","Governor signed","05/08/2025",""
"Arkansas","H.B.1684","Forced outing in schools | Restricting student & educator rights","Defeated","Legislative session ended","04/16/2025",""
"Arkansas","S.B.362","Other anti-LGBTQ bills","Advancing","Senate passed; House third reading failed","04/16/2025",""
"Arizona","H.B.2438","Barriers to accurate IDs | ","Advancing","Vetoed by Governor","05/02/2025",""
"Arizona","S.B.1586","Healthcare restrictions | Other healthcare barriers","Advancing","Vetoed by Governor","05/12/2025",""
"Arizona","H.B.2868","Other anti-LGBTQ bills","Advancing","Vetoed by Governor","05/13/2025",""
"Alabama","H.B.246","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/14/2025",""
"Alabama","H.B.67","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/14/2025",""
"Alabama","H.B.244","Curriculum censorship | Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/14/2025",""
"Texas","H.B. 1088","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4503","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 240","Public accommodation bans","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 2826","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/02/2025",""
"Tennessee","H.B.1044","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Companion bill S.B.0955 became law","04/29/2025",""
"Tennessee","S.B.0955","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/24/2025",""
"Montana","H.B. 400","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Advancing","Passed House and Senate and transmitted to Governor","04/25/2025",""
"Massachusetts","H.D.4542","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Advancing","Referred to committee","04/14/2025",""
"Massachusetts","H.737","Restricting student & educator rights | School sports bans","Advancing","Joint hearing scheduled for 01:00 PM","05/06/2025",""
"Wisconsin","A.B.58","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Advancing","Referred to committee","04/23/2025",""
"Rhode Island","H.B.5842","Restricting student & educator rights | School sports bans","Defeated","Legislative session adjourned","06/20/2025",""
"Ohio","H.B.190","Forced outing in schools | Other school restrictions | Restricting student & educator rights","Advancing","First read and referred to committee","04/29/2025",""
"New Hampshire","S.B.268","Healthcare age restrictions | Healthcare restrictions | Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Senate passed; House retained in committee","04/24/2025",""
"Montana","S.B. 437","Barriers to accurate IDs | Other anti-LGBTQ bills | Other school restrictions | Re-definition of sex | Restricting student & educator rights | Weakening Civil Rights Laws","Advancing","Signed by Senate President","04/21/2025",""
"Montana","H.B. 655","Religious exemptions | Weakening Civil Rights Laws","Advancing","Passed House and Senate; transmitted to Governor","04/22/2025",""
"Montana","H.B. 471","Curriculum censorship | Restricting student & educator rights","Advancing","Passed House and Senate; transmitted to Governor","04/22/2025",""
"Arkansas","H.B.1615","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/16/2025",""
"Arkansas","S.B.486","Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans","Passed into Law","Governor signed","04/22/2025",""
"Arkansas","S.B.444","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","04/22/2025",""
"Arkansas","H.B.1916","Healthcare age restrictions | Healthcare restrictions | ","Passed into Law","Governor signed","04/22/2025",""
"Texas","S.B. 406","Barriers to accurate IDs | ","Defeated","Legislative session ended","06/02/2025",""
"Tennessee","H.B.0571","Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"Tennessee","S.B.0676","Healthcare restrictions | Other healthcare barriers","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"Tennessee","S.B.0468","Other anti-LGBTQ bills | Other civil rights restrictions | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"South Carolina","S.B.0054","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","05/28/2025",""
"Nevada","A.B.240","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/02/2025",""
"Nevada","S.B.112","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/02/2025",""
"Montana","H.B. 121","Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans","Passed into Law","Signed by Governor","03/27/2025",""
"Minnesota","H.F.3170","Restricting student & educator rights | School sports bans","Advancing","Legislative session adjourned, carries over to 2026","05/19/2025",""
"Louisiana","H.B.418","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/12/2025",""
"Kentucky","H.B.501","Healthcare age restrictions | Healthcare restrictions | ","Passed into Law","Became law without Governor's signature","04/10/2025",""
"Indiana","H.B.1041","Restricting student & educator rights | School sports bans","Passed into Law","Signed by the Governor","04/16/2025",""
"Illinois","S.B.1226","Restricting student & educator rights | School facilities bans","Advancing","Legislative session adjourned, carries over to 2026","05/31/2025",""
"Idaho","H.239","Curriculum censorship | Restricting student & educator rights","Passed into Law","Governor signed","03/31/2025",""
"Idaho","H.352","Curriculum censorship | Restricting student & educator rights","Passed into Law","Governor signed","03/31/2025",""
"California","S.B.311","Other anti-LGBTQ bills","Advancing","Hearing scheduled","04/29/2025",""
"Alaska","H.B. 40","Restricting student & educator rights | School sports bans","Advancing","Legislative session adjourned, carries over to 2026","05/20/2025",""
"South Carolina","S.B.0540","Healthcare restrictions | Other anti-LGBTQ bills | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","05/28/2025",""
"Mississippi","S.B. 2386","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Passed Senate and House; due from Governor","04/24/2025",""
"Texas","S.B. 86","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 983","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 5541","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 5593","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 5135","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Tennessee","H.B.0754","Healthcare restrictions | Other healthcare barriers","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"Tennessee","S.B.0472","Restricting student & educator rights | School facilities bans","Advancing","Companion bill passed into law","04/04/2025",""
"Tennessee","H.B.0064","Restricting student & educator rights | School facilities bans","Passed into Law","Signed by Governor","04/03/2025",""
"South Carolina","H.B.3927","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Advancing","Legislative session adjourned, carries over to 2026","05/28/2025",""
"Puerto Rico","P.S.0001","Religious exemptions | Weakening Civil Rights Laws","Advancing","Passed House and Senate; signed by House President","04/10/2025",""
"North Carolina","H776","Religious exemptions | Weakening Civil Rights Laws","Advancing","First read and referred to committee","04/07/2025",""
"North Carolina","H791","Barriers to accurate IDs | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","First read and referred to committee","04/08/2025",""
"Mississippi","H.B. 1193","Curriculum censorship | Restricting student & educator rights","Advancing","House and Senate passed; due from Governor","04/24/2025",""
"Kentucky","H.B.4","Other school restrictions | Restricting student & educator rights","Passed into Law","House and Senate override of Governor's veto","03/27/2025",""
"Kansas","H.B.2311","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","House and Senate override of Governor's veto","04/10/2025",""
"Iowa","S.F.473","Religious exemptions | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","05/14/2025",""
"Illinois","H.B.4030","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","05/31/2025",""
"Idaho","S.1027","Other anti-LGBTQ bills","Passed into Law","Governor signed","03/24/2025",""
"Idaho","S.1198","Other anti-LGBTQ bills","Passed into Law","Governor signed","04/04/2025",""
"Georgia","S.B.30","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Legislative session adjourned, carries over to 2026","04/04/2025",""
"Georgia","S.B.39","Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers | Prison healthcare restrictions","Advancing","Legislative session adjourned, carries over to 2026","04/04/2025",""
"Georgia","S.B.36","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/04/2025",""
"Arkansas","H.B.1669","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/10/2025",""
"Wyoming","H.B.0032","Re-definition of sex | Weakening Civil Rights Laws","Passed into Law","Became law without Governor's signature","03/14/2025",""
"Wyoming","H.B.0164","Healthcare age restrictions | Healthcare restrictions | ","Passed into Law","Governor signed","03/19/2025",""
"Wisconsin","A.B.100","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House passed; Senate first read and referred to committee","03/21/2025",""
"Wisconsin","A.B.102","Restricting student & educator rights | School facilities bans | School sports bans","Advancing","House passed; Senate first read and referred to committee","03/21/2025",""
"Wisconsin","A.B.103","Other school restrictions | Restricting student & educator rights","Advancing","House passed; Senate first read and referred to committee","03/21/2025",""
"Wisconsin","A.B.104","Healthcare age restrictions | Healthcare restrictions | ","Advancing","House passed; Senate first read and referred to committee","03/27/2025",""
"West Virginia","S.B.663","Other anti-LGBTQ bills","Advancing","Legislative session adjourned, carries over to 2026","04/12/2025",""
"Utah","H.B.283","Healthcare age restrictions | Healthcare restrictions | Other anti-LGBTQ bills","Passed into Law","Governor signed","03/19/2025",""
"Utah","H.B.252","Healthcare restrictions | Other anti-LGBTQ bills | Prison healthcare restrictions","Passed into Law","Governor signed","03/19/2025",""
"Utah","S.B.74","Barriers to accurate IDs | ","Passed into Law","Governor signed","03/25/2025",""
"Utah","H.B.77","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Passed into Law","Became law without Governor's signature","03/27/2025",""
"Texas","S.B. 1565","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 436","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 1704","Forced outing in schools | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2291","Barriers to accurate IDs | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2342","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2258","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2062","Public accommodation bans | Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 810","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2549","Barriers to accurate IDs | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2548","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 1953","Barriers to accurate IDs | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2704","Other anti-LGBTQ bills | Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2846","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2816","Healthcare restrictions | Other healthcare barriers | Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3075","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3186","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3431","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3427","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3399","Healthcare funding restrictions | Healthcare restrictions | Total healthcare bans","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3411","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3478","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3548","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","S.B. 2149","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3616","Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3817","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3842","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 3742","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4002","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4001","Barriers to accurate IDs | Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4333","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4311","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4425","Free speech & expression bans | Other anti-LGBTQ bills | Other expression restrictions","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 4710","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/02/2025",""
"Texas","H.B. 2339","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","06/02/2025",""
"Tennessee","H.B.1262","Other school restrictions | Restricting student & educator rights","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"Tennessee","H.B.1271","Re-definition of sex | Weakening Civil Rights Laws","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"Tennessee","S.B.1252","Other school restrictions | Restricting student & educator rights","Advancing","Legislative session adjourned, carries over to 2026","04/22/2025",""
"South Dakota","H.B.1259","Public accommodation bans | Restricting student & educator rights | School facilities bans","Passed into Law","Signed by Governor","03/31/2025",""
"North Dakota","S.B. 2244","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","05/02/2025",""
"New Jersey","S.419","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/14/2025",""
"New Jersey","A.2720","Other school restrictions | Restricting student & educator rights","Introduced","Carried over","01/14/2025",""
"New Hampshire","H.B.620","Religious exemptions | Weakening Civil Rights Laws","Advancing","Laid on table","03/27/2025",""
"New Hampshire","S.B.38","Other civil rights restrictions | Weakening Civil Rights Laws","Advancing","Pending motion Ought to Pass","03/27/2025",""
"Montana","H.B. 300","Restricting student & educator rights | School facilities bans | School sports bans","Passed into Law","Signed by Governor","03/27/2025",""
"Missouri","S.B. 704","Healthcare restrictions | Other healthcare barriers","Advancing","Second read and referred to committee","03/24/2025",""
"Missouri","S.B. 764","Drag bans | Free speech & expression bans | ","Advancing","Second read and referred to committee","03/27/2025",""
"Missouri","S.B. 769","Other anti-LGBTQ bills","Advancing","Second read and referred to committee","03/27/2025",""
"Missouri","S.B. 272","Other anti-LGBTQ bills","Advancing","Reported favorably by committee","04/02/2025",""
"Mississippi","H.B. 1609","Other anti-LGBTQ bills","Defeated","Died in committee","02/04/2025",""
"Mississippi","H.B. 1416","Other anti-LGBTQ bills","Defeated","Died in committee","02/04/2025",""
"Mississippi","S.B. 2223","Other anti-LGBTQ bills","Defeated","Died in committee","02/04/2025",""
"Mississippi","S.B. 2867","Healthcare funding restrictions | Healthcare restrictions | ","Advancing","Governor's veto referred to committee","03/28/2025",""
"Kentucky","S.B.2","Healthcare restrictions | Prison healthcare restrictions","Passed into Law","Became law without Governor's signature","03/27/2025",""
"Kansas","S.B.76","Other school restrictions | Restricting student & educator rights","Advancing","Senate passed; Stricken from House calendar","03/21/2025",""
