State,Bill Name,Issues,Status,Status Detail,Status Date,In Court Link
"Alaska","HB 174","Other anti-LGBTQ bills","Defeated","Legislative session ended","05/15/2024",""
"Tennessee","H.B.2165","Forced outing in schools | Restricting student & educator rights","Passed into Law","Companion bill passed into law","05/09/2024",""
"Tennessee","S.B.2861","Healthcare restrictions | Prison healthcare restrictions","Passed into Law","Governor signed","04/29/2024",""
"Tennessee","S.B.1810","Forced outing in schools | Restricting student & educator rights","Passed into Law","Governor signed","05/01/2024",""
"Missouri","H.B. 2619","Other anti-LGBTQ bills","Defeated","Legislative session ended","05/17/2024",""
"Iowa","S.F.2435","Other anti-LGBTQ bills","Passed into Law","Governor signed","05/09/2024",""
"Alabama","S.B.92","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/09/2024",""
"Tennessee","H.B.1634","Other school restrictions | Restricting student & educator rights","Passed into Law","Companion bill passed into law","04/23/2024",""
"Tennessee","S.B.2766","Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","04/23/2024",""
"Mississippi","S.B. 2753","Other school restrictions | Public accommodation bans | Re-definition of sex | Restricting student & educator rights | School facilities bans | Weakening Civil Rights Laws","Advancing","Senate and House signed enrolled bill; Due from Governor","05/13/2024",""
"Alaska","H.B. 105","Curriculum censorship | Other school restrictions | Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","05/15/2024",""
"Tennessee","H.B.1995","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"Tennessee","S.B.2780","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"West Virginia","S.B.237","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","03/09/2024",""
"West Virginia","H.B.5240","Other anti-LGBTQ bills","Defeated","Legislative session ended","03/09/2024",""
"Washington","H.B. 1214","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","03/07/2024",""
"Tennessee","S.B.1722","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","04/25/2024",""
"Tennessee","H.B.1605","Free speech & expression bans | Other expression restrictions | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","04/25/2024",""
"South Carolina","H.B.4691","Forced outing in schools | Other anti-LGBTQ bills | Restricting student & educator rights","Defeated","Legislative session ended","05/09/2024",""
"Oklahoma","H.B.2546","Curriculum censorship | Restricting student & educator rights","Defeated","Failed to meet House deadline","02/29/2024",""
"New Hampshire","H.B.1441","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","06/13/2024",""
"Mississippi","S.B. 2813","Barriers to accurate IDs | Re-definition of sex | Weakening Civil Rights Laws","Defeated","Died In Committee","03/05/2024",""
"Missouri","H.B. 1518","Other civil rights restrictions | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/17/2024",""
"Missouri","H.B. 1650","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","05/17/2024",""
"Kentucky","S.B.208","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","04/15/2024",""
"Idaho","H.517","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","04/10/2024",""
"Iowa","H.F.2068","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","04/20/2024",""
"Hawaii","H.B.291","Barriers to accurate IDs | ","Defeated","Legislative session ended","05/03/2024",""
"Georgia","H.B.836","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","03/28/2024",""
"Georgia","H.B.936","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","03/28/2024",""
"Florida","H.B. 1027","Other school restrictions | Restricting student & educator rights","Defeated","Died in subcommittee","03/08/2024",""
"Florida","S.B. 1728","Other school restrictions | Restricting student & educator rights","Defeated","Died in committee","03/08/2024",""
"Missouri","H.B. 1520","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Legislative session ended","05/17/2024",""
"Illinois","H.B.5830","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/29/2024",""
"Alabama","H.B.130","Curriculum censorship | Restricting student & educator rights","Defeated","Legislative session ended","05/09/2024",""
"Minnesota","S.F.5466","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/20/2024",""
"Tennessee","H.B.2169","Religious exemptions | Weakening Civil Rights Laws","Advancing","Companion bill passed into law","04/11/2024",""
"Mississippi","H.B. 1607","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Died in Conference","04/29/2024",""
"Minnesota","H.F.3926","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/20/2024",""
"Kansas","HB 2436","Other anti-LGBTQ bills","Passed into Law","House and Senate Motion to override veto prevailed","04/29/2024",""
"Kansas","SB 233","Healthcare age restrictions | Healthcare restrictions | ","Defeated","House Motion to override veto failed; Veto sustained","04/29/2024",""
"Alaska","H.B. 382","Forced outing in schools | Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","05/15/2024",""
"Arizona","S.B.1182","Restricting student & educator rights | School facilities bans","Defeated","Vetoed by Governor","04/23/2024",""
"Alabama","H.B.111","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/09/2024",""
"Wisconsin","SB 377","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","SB 489","Curriculum censorship | Other school restrictions | Restricting student & educator rights","Defeated","Companion bill vetoed by Governor; Assembly failed to override veto","05/15/2024",""
"Wisconsin","SB 378","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","03/12/2024",""
"Tennessee","S.B.1738","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Signed by Governor","04/11/2024",""
"Maine","LD 678","Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","04/17/2024",""
"Maine","LD 930","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","04/17/2024",""
"Arizona","S.B.1628","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Vetoed by Governor","04/16/2024",""
"Alaska","H.B. 338","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","05/15/2024",""
"Iowa","H.F.2704","Other anti-LGBTQ bills","Passed into Law","Companion bill passed into law","05/09/2024",""
"South Carolina","H.B.5407","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","05/09/2024",""
"Wisconsin","SB 479","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","SB 438","Other anti-LGBTQ bills","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","SB 480","Healthcare age restrictions | Healthcare restrictions | ","Defeated","Companion bill vetoed by Governor; Assembly failed to override veto","05/15/2024",""
"Wisconsin","AB 447","Other anti-LGBTQ bills","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","S.B.922","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","AB 609","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","AB 502","Healthcare age restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","03/12/2024",""
"Wisconsin","AB 378","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","03/12/2024",""
"Idaho","H.538","Forced outing in schools | Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","04/08/2024",""
"Idaho","H.421","Re-definition of sex | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/09/2024",""
"Florida","H.B. 433","Other civil rights restrictions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/11/2024",""
"Tennessee","S.B.2350","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"Tennessee","H.B.1948","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"Idaho","S.1352","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","03/21/2024",""
"Rhode Island","H.B.7884","Healthcare age restrictions | Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/14/2024",""
"Rhode Island","H.B.7727","Restricting student & educator rights | School sports bans","Defeated","Legislative session ended","06/14/2024",""
"Ohio","HB 183","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","12/19/2024",""
"New Hampshire","S.B.304","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/13/2024",""
"Nebraska","LB 575","Restricting student & educator rights | School facilities bans | School sports bans","Defeated","Legislative session ended","04/18/2024",""
"Oklahoma","H.B.3214","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/30/2024",""
"Mississippi","H.B. 585","Other anti-LGBTQ bills","Defeated","House passed; Died in Senate committee","04/02/2024",""
"Iowa","S.F.2095","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","04/02/2024",""
"Wyoming","S.F.0099","Healthcare age restrictions | Healthcare restrictions | ","Passed into Law","Governor signed","03/22/2024",""
"West Virginia","H.B.4233","Barriers to accurate IDs | ","Passed into Law","Governor signed","03/27/2024",""
"Utah","H.B.157","Healthcare restrictions | Other healthcare barriers","Passed into Law","Governor signed","03/14/2024",""
"Utah","H.B.316","Other anti-LGBTQ bills","Passed into Law","Governor signed","03/18/2024",""
"Utah","H.B.396","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","03/19/2024",""
"Utah","S.B.150","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","03/21/2024",""
"Tennessee","HB 1386","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"Tennessee","HB 878","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Signed by Governor","02/21/2024",""
"Tennessee","SB 1110","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/25/2024",""
"Oklahoma","H.B.3022","Other anti-LGBTQ bills","Defeated","Legislative session ended","05/30/2024",""
"New Hampshire","H.B.1664","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","06/13/2024",""
"Kentucky","S.B.239","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","04/15/2024",""
"Kentucky","H.B.304","Curriculum censorship | Forced outing in schools | Other school restrictions | Restricting student & educator rights","Defeated","Legislative session ended","04/15/2024",""
"Kentucky","S.B.147","Drag bans | Free speech & expression bans | ","Defeated","Legislative session ended","04/15/2024",""
"Kentucky","H.B.47","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","04/15/2024",""
"Idaho","H.578","Religious exemptions | Weakening Civil Rights Laws","Passed into Law","Governor signed","03/25/2024",""
"Idaho","H.668","Healthcare funding restrictions | Healthcare restrictions | Other healthcare barriers | Prison healthcare restrictions","Passed into Law","Governor signed","03/27/2024",""
"Iowa","S.F.2286","Religious exemptions | Weakening Civil Rights Laws","Defeated","Legislative session ended","04/20/2024",""
"Georgia","H.B.1170","Healthcare age restrictions | Healthcare restrictions | ","Advancing","Passed House and Senate as substituted","03/28/2024",""
"Arizona","S.B.1166","Forced outing in schools | Religious exemptions | Restricting student & educator rights | Weakening Civil Rights Laws","Defeated","Legislative session ended","06/15/2024",""
"Alabama","S.B.129","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Passed into Law","Governor signed","03/20/2024",""
"South Carolina","S.B.1213","Restricting student & educator rights | School facilities bans","Defeated","Legislative session ended","05/09/2024",""
"Minnesota","S.F.5144","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/20/2024",""
"Minnesota","H.F.5128","Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","05/20/2024",""
"Georgia","H.B.1104","Curriculum censorship | Restricting student & educator rights | School facilities bans | School sports bans","Defeated","Legislative session ended","03/28/2024",""
"Arizona","S.B.1005","Other anti-LGBTQ bills","Defeated","Legislative session ended","06/15/2024",""
"Oregon","H.B.4054","Restricting student & educator rights | School sports bans","Defeated","In committee upon adjournment","03/07/2024",""
"Oregon","H.B.4037","Forced outing in schools | Healthcare age restrictions | Healthcare restrictions | Restricting student & educator rights","Defeated","In committee upon adjournment","03/07/2024",""
"Oregon","H.B.4143","Other anti-LGBTQ bills | Public accommodation bans | Restricting student & educator rights | School facilities bans | School sports bans","Defeated","In committee upon adjournment","03/07/2024",""
"Iowa","S.F.2263","Other anti-LGBTQ bills","Defeated","Legislative session ended","04/20/2024",""
"Wyoming","S.F.0098","Healthcare restrictions | Other healthcare barriers","Defeated","Senate passed; House did not consider for introduction and legislative session ended","03/08/2024",""
"Wyoming","S.F.0094","Other anti-LGBTQ bills","Defeated","Senate passed; House did not consider for introduction and legislative session ended","03/08/2024",""
"Wyoming","S.F.0130","Other anti-LGBTQ bills | Other school restrictions | Restricting student & educator rights","Defeated","Passed Senate; House did not consider for introduction and legislative session ended","03/08/2024",""
"Wyoming","S.F.0009","Curriculum censorship | Restricting student & educator rights","Passed into Law","Governor signed","03/05/2024",""
"West Virginia","S.B.601","Public accommodation bans | Re-definition of sex | Weakening Civil Rights Laws","Defeated","Legislative session ended","03/09/2024",""
"Tennessee","H.B.2816","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","04/25/2024",""
"Tennessee","S.B.2396","Healthcare restrictions | Other healthcare barriers","Defeated","Legislative session ended","04/25/2024",""
